Video_Image,Video_Author,Video_ID,Video_title,Video_Skill
https://i.ytimg.com/vi/SgAN_wOyd88/mqdefault.jpg,GaryRyanBlairTV,SgAN_wOyd88,Personal Strategic Planning - Gary Ryan Blair,Strategic_Planning
https://i.ytimg.com/vi/YzxVCqHD05o/mqdefault.jpg,virtualstrategist,YzxVCqHD05o,Ten Tips to Keep Your Strategic Plan From Hitting the Shelf,Strategic_Planning
https://i.ytimg.com/vi/TEEI-Mzt-3s/mqdefault.jpg,CEB - What the Best Companies Do,TEEI-Mzt-3s,IT Strategic Planning,Strategic_Planning
https://i.ytimg.com/vi/UY75MQte4RU/mqdefault.jpg,Wellcoaches,UY75MQte4RU,"""How Coaching Works""",Coaching
https://i.ytimg.com/vi/vlxs6daqOk0/mqdefault.jpg,Mike Lally,vlxs6daqOk0,"How to Coach PART ONE - Life Coaching, Business Coaching, Executive Coaching, Sales Coaching",Coaching
https://i.ytimg.com/vi/v8q3PPE7iZg/mqdefault.jpg,eHow,v8q3PPE7iZg,Basketball Tips : How to Coach Youth Basketball,Coaching
https://i.ytimg.com/vi/Pt7OXaVfjiA/mqdefault.jpg,Cary Kolat,Pt7OXaVfjiA,How to Coach a Room KOLAT.COM Wrestling Techniques Moves Instruction,Coaching
https://i.ytimg.com/vi/OchzZnOUz8M/mqdefault.jpg,expertvillage,OchzZnOUz8M,Baseball Playing & Coaching Tips : How to Coach Baseball,Coaching
https://i.ytimg.com/vi/sx3-IIYTzoE/mqdefault.jpg,Domingo Ayala,sx3-IIYTzoE,How to Coach First Base with Domingo Ayala,Coaching
https://i.ytimg.com/vi/ja9CYHLv07E/mqdefault.jpg,expertvillage,ja9CYHLv07E,Football Basics : How to Coach Youth Football,Coaching
https://i.ytimg.com/vi/MDMIq9U-7jU/mqdefault.jpg,expertvillage,MDMIq9U-7jU,Soccer Tips : How to Coach a Kids' Soccer Practice for Beginners,Coaching
https://i.ytimg.com/vi/SylpBM8L5vs/mqdefault.jpg,expertvillage,SylpBM8L5vs,How to Coach a Soccer Team : Passing Games for Soccer Practice,Coaching
https://i.ytimg.com/vi/x9trDpfJim4/mqdefault.jpg,mycricketcoach.com - Online Cricket Coaching Tips & Videos,x9trDpfJim4,Cricket Coaching for Kids,Coaching
https://i.ytimg.com/vi/5Bv009sxsFI/mqdefault.jpg,eHow,5Bv009sxsFI,Football Facts : How to Coach Youth Football,Coaching
https://i.ytimg.com/vi/vHNfcqsoLfc/mqdefault.jpg,gymwizards,vHNfcqsoLfc,Gymnastics Coaching|Coaching Gymnastics|How to Coach Gymnastics,Coaching
https://i.ytimg.com/vi/IS1cJZQOrqY/mqdefault.jpg,eHow,IS1cJZQOrqY,Cheerleading : How to Coach Cheerleading,Coaching
https://i.ytimg.com/vi/MQDCA2m48xU/mqdefault.jpg,Cricket Victoria,MQDCA2m48xU,How to Run a Cricket Training Session - Cricket Coaching Tips,Coaching
https://i.ytimg.com/vi/uYlIViZM6cY/mqdefault.jpg,Coerver Coaching,uYlIViZM6cY,Youth Soccer video. How to coach soccer skills,Coaching
https://i.ytimg.com/vi/gU5_TS6QC5s/mqdefault.jpg,wilymanager,gU5_TS6QC5s,How To Mentor Someone - A 3-Minute Crash Course,Mentoring
https://i.ytimg.com/vi/kRJhjS-s-Uw/mqdefault.jpg,Swinburne Commons,kRJhjS-s-Uw,"To coach, to mentor, or both?",Mentoring
https://i.ytimg.com/vi/qXh67DtqyIo/mqdefault.jpg,Nathan Lucas,qXh67DtqyIo,3 Mentoring Tips - How To Become A Better Mentor,Mentoring
